isoform_id,bam1_count,bam2_count
CHS.4022.1,2,0
CHS.40229.3,2,0
CHS.40231.4,3,0
CHS.40231.5,3,0
CHS.40242.23,2,0
CHS.40246.8,2,0
CHS.40345.1,2,0
CHS.40473.5,2,0
CHS.405.5,2,0
CHS.40524.2,2,0
CHS.40590.13,2,0
CHS.40594.1,2,0
CHS.40687.39,2,0
CHS.40717.1,2,0
CHS.40720.21,2,0
CHS.40855.22,2,0
CHS.40890.2,2,0
CHS.40897.4,2,0
CHS.40897.7,2,0
CHS.40963.1,2,0
CHS.40989.15,2,0
CHS.41009.9,2,0
CHS.41017.17,2,0
CHS.41017.9,2,0
CHS.41072.2,2,0
CHS.41088.4,2,0
CHS.41216.3,2,0
CHS.413.2,2,0
CHS.415.1,2,0
CHS.41565.2,8,0
CHS.41623.2,2,0
CHS.41770.17,2,0
CHS.41819.12,2,0
CHS.41974.20,2,0
CHS.41994.1,2,0
CHS.42197.7,2,0
CHS.42341.1,2,0
CHS.42358.4,2,0
CHS.42377.39,2,0
CHS.42377.7,2,0
CHS.42384.4,2,0
CHS.42436.2,2,0
CHS.42546.8,2,0
CHS.42623.19,2,0
CHS.42657.8,1,0
CHS.42691.2,2,0
CHS.42706.24,2,0
CHS.42706.4,2,0
CHS.42743.11,2,0
CHS.42801.2,2,0
CHS.42856.1,2,0
CHS.42856.8,2,0
CHS.42969.5,2,0
CHS.43064.1,2,0
CHS.43184.29,2,0
CHS.43184.7,2,0
CHS.43188.55,2,0
CHS.43223.1,2,0
CHS.43226.10,2,0
CHS.43243.1,2,0
CHS.43273.5,2,0
CHS.43296.1,3,0
CHS.43385.1,2,0
CHS.43389.1,2,0
CHS.43444.4,2,0
CHS.4345.5,2,0
CHS.4345.6,2,0
CHS.43451.9,2,0
CHS.43469.66,2,0
CHS.43512.5,2,0
CHS.43512.7,2,0
CHS.43599.11,2,0
CHS.43603.4,2,0
CHS.43695.5,2,0
CHS.43743.1,2,0
CHS.4377.2,2,0
CHS.43791.1,2,0
CHS.43800.3,2,0
CHS.43808.2,2,0
CHS.43846.2,2,0
CHS.43847.3,2,0
CHS.43848.2,2,0
CHS.43851.13,2,0
CHS.43910.4,2,0
CHS.43915.6,2,0
CHS.43920.1,2,0
CHS.44015.2,2,0
CHS.44054.15,2,0
CHS.44077.39,2,0
CHS.44077.47,2,0
CHS.44111.8,2,0
CHS.44112.1,2,0
CHS.44186.1,2,0
CHS.44265.8,2,0
CHS.44275.1,2,0
CHS.44289.6,2,0
CHS.44362.2,2,0
CHS.44368.22,2,0
CHS.44393.18,2,0
CHS.44393.19,10,0
CHS.44393.7,2,0
CHS.44396.15,2,0
CHS.44396.4,2,0
CHS.44423.4,2,0
CHS.44429.2,2,0
CHS.44473.5,2,0
CHS.44473.6,2,0
CHS.44484.2,2,0
CHS.44542.3,2,0
CHS.44574.6,2,0
CHS.44598.26,2,0
CHS.44692.24,4,0
CHS.44692.4,2,0
CHS.44692.5,4,0
CHS.44692.6,2,0
CHS.4472.1,2,0
CHS.44751.4,2,0
CHS.44757.6,2,0
CHS.44838.12,2,0
CHS.44838.13,2,0
CHS.44862.1,2,0
CHS.44880.6,1,0
CHS.44941.9,2,0
CHS.44946.10,1,0
CHS.44946.30,4,0
CHS.44951.14,2,0
CHS.45003.21,6,0
CHS.45003.3,6,0
CHS.45110.2,2,0
CHS.45112.2,2,0
CHS.45112.21,2,0
CHS.4517.8,4,0
CHS.45181.18,2,0
CHS.45277.2,2,0
CHS.45321.2,2,0
CHS.4535.2,2,0
CHS.45360.7,2,0
CHS.45412.51,2,0
